expire_at,lap,meta_event,meta_session,meta_source,meta_time,original_vehicle_id,outing,telemetry_name,telemetry_value,timestamp,vehicle_id,vehicle_number
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.996Z,GR86-002-002,0,accx_can,0.013,2025-03-27T14:45:50.001Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.996Z,GR86-002-002,0,accy_can,0.74,2025-03-27T14:45:50.001Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.996Z,GR86-002-002,0,ath,18.87,2025-03-27T14:45:50.001Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.996Z,GR86-002-002,0,pbrake_r,0.0,2025-03-27T14:45:50.001Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.996Z,GR86-002-002,0,pbrake_f,0.0,2025-03-27T14:45:50.001Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.996Z,GR86-002-002,0,gear,2.0,2025-03-27T14:45:50.001Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.996Z,GR86-002-002,0,Steering_Angle,55.6,2025-03-27T14:45:50.001Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.995Z,GR86-002-002,0,accx_can,0.025,2025-03-27T14:45:49.956Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.995Z,GR86-002-002,0,accy_can,0.792,2025-03-27T14:45:49.956Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.995Z,GR86-002-002,0,ath,18.83,2025-03-27T14:45:49.956Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.995Z,GR86-002-002,0,pbrake_r,0.0,2025-03-27T14:45:49.956Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.995Z,GR86-002-002,0,pbrake_f,0.0,2025-03-27T14:45:49.956Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.995Z,GR86-002-002,0,gear,2.0,2025-03-27T14:45:49.956Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.995Z,GR86-002-002,0,Steering_Angle,55.0,2025-03-27T14:45:49.956Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.995Z,GR86-002-002,0,accx_can,0.017,2025-03-27T14:45:49.912Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.995Z,GR86-002-002,0,accy_can,0.742,2025-03-27T14:45:49.912Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.995Z,GR86-002-002,0,ath,18.86,2025-03-27T14:45:49.912Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.995Z,GR86-002-002,0,pbrake_r,0.0,2025-03-27T14:45:49.912Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.995Z,GR86-002-002,0,pbrake_f,0.0,2025-03-27T14:45:49.912Z,GR86-002-002,2
,1,I_R01_2025-03-30,R2,kafka:gr-raw,2025-03-30T19:55:50.995Z,GR86-002-002,0,gear,2.0,2025-03-27T14:45:49.912Z,GR86-002-002,2
