expire_at,lap,meta_event,meta_session,meta_source,meta_time,original_vehicle_id,outing,telemetry_name,telemetry_value,timestamp,vehicle_id,vehicle_number
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,accx_can,0.081,2025-03-27T11:31:25.715Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,accy_can,-0.01,2025-03-27T11:31:25.715Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,ath,24.9,2025-03-27T11:31:25.715Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,pbrake_r,0.0,2025-03-27T11:31:25.715Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,pbrake_f,0.0,2025-03-27T11:31:25.715Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,gear,3.0,2025-03-27T11:31:25.715Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,Steering_Angle,3.9,2025-03-27T11:31:25.715Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,nmot,5269.0,2025-03-27T11:31:25.715Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,speed,113.34,2025-03-27T11:31:25.715Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,accx_can,0.101,2025-03-27T11:31:25.671Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,accy_can,0.01,2025-03-27T11:31:25.671Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,ath,24.83,2025-03-27T11:31:25.671Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,pbrake_r,0.0,2025-03-27T11:31:25.671Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,pbrake_f,0.0,2025-03-27T11:31:25.671Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,gear,3.0,2025-03-27T11:31:25.671Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,Steering_Angle,3.9,2025-03-27T11:31:25.671Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,accx_can,0.088,2025-03-27T11:31:25.627Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,accy_can,-0.014,2025-03-27T11:31:25.627Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,ath,24.8,2025-03-27T11:31:25.627Z,GR86-002-002,2
,1,I_R01_2025-03-30,R1,kafka:gr-raw,2025-03-29T21:05:57.014Z,GR86-002-002,0,pbrake_r,0.0,2025-03-27T11:31:25.627Z,GR86-002-002,2
